Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
US East (N. Virginia),EC2 Servers for the Web Servers,Amazon EC2,2310,18,2526,USD,"Operating system (Linux), Quantity (6), Pricing strategy (Standard Reserved Instances 1 Year All Upfront), Storage amount (30 GB), Instance type (t3a.large)"
US East (N. Virginia),EC2 instances for the application servers,Amazon EC2,2310,18,2526,USD,"Operating system (Linux), Quantity (6), Pricing strategy (Standard Reserved Instances 1 Year All Upfront), Storage amount (30 GB), Instance type (t3a.large)"
US East (N. Virginia),,Amazon RDS for PostgreSQL,7368,1629.75,26925,USD,"Storage volume (Provisioned IOPS SSD (io1)), Provisioning IOPS (4000), Storage amount (50 GB per month), Nodes (2), Instance Type (db.m4.xlarge), Utilization (On-Demand only) (90 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (Reserved), Lease Offering Term (1yr), Purchase Option (All Upfront), Additional backup storage (50 GB)"
US East (N. Virginia),Web Cache for the ALB and S3 across the globe,Amazon CloudFront,0,69.55,834.6,USD,"Data transfer out to internet (40 GB per month), Data transfer out to origin (40 GB per month), Number of requests (HTTPS) (100000 per month), Data transfer out to internet (40 GB per month), Data transfer out to origin (40 GB per month), Number of requests (HTTPS) (100000 per month), Data transfer out to internet (40 GB per month), Data transfer out to origin (40 GB per month), Number of requests (HTTPS) (100000 per month), Data transfer out to internet (40 GB per month), Data transfer out to origin (40 GB per month), Number of requests (HTTPS) (100000 per month), Data transfer out to internet (40 GB per month), Data transfer out to origin (40 GB per month), Number of requests (HTTPS) (100000 per month), Data transfer out to internet (040 GB per month), Data transfer out to origin (40 GB per month), Number of requests (HTTPS) (100000 per month), Data transfer out to internet (40 GB per month), Data transfer out to origin (40 GB per month), Number of requests (HTTPS) (100000 per month), Data transfer out to internet (40 GB per month), Data transfer out to origin (40 GB per month), Number of requests (HTTPS) (100000 per month), Data transfer out to internet (40 GB per month), Data transfer out to origin (40 GB per month), Number of requests (HTTPS) (100000 per month), Data transfer out to internet (40 GB per month), Data transfer out to origin (40 GB per month), Number of requests (HTTPS) (100000 per month)"
US East (N. Virginia),,Amazon Route 53,0,1264.7,15176.4,USD,"Hosted Zones (1), Basic Checks Within AWS (100), Number of Elastic Network Interfaces (10)"
US East (N. Virginia),,S3 Standard,0,23,276,USD,S3 Standard storage (1000 GB per month)
US East (N. Virginia),,Data Transfer,0,0,0,USD,
US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,245.7,2948.4,USD,Number of NAT Gateways (2)
US East (N. Virginia),ALB for the web servers,Application Load Balancer,0,892.43,10709.16,USD,Number of Application Load Balancers (1)
US East (N. Virginia),ALB for the application servers,Application Load Balancer,0,892.43,10709.16,USD,Number of Application Load Balancers (1)
,,,,,,,,
,,,,,Total Monthly,6052.56,,
,,,,,,,,
,,,,,,,,
,,,,What changes I made,,,,
,,,,EC2 pricing strategy changed from on-demand to 1-year prepaid reserved instances for both web and application servers,,,,
,,,,RDS ricing strategy changed from on-demand to 1-year prepaid reserved instances,,,,
,,,,Route 53 changed number of Elastic Network Instances from 10 to 5 and reduced number of basic checks,,,,
,,,,Application Load Balancer - reduces number of new connections per second (EC2 and IP),,,,
